# Ref. Cavity Transverse Wakefield for different offsets. Calculated by Rob Ainsworth with T3P (ACE3P)
# s[m] charge 0.5mm 1.0mm 3.0mm 3.5mm 4.0mm 4.5mm 5.0mm
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.997924579999999847e-05 2.169837148648430059e-16 -8.816170853760579868e-11 -2.635906427058314720e-10 -7.495133502158483995e-10 -1.012230681214398393e-09 -1.377730820436833141e-09 -1.704252673507932240e-09 -2.272236713883973657e-09
5.995849159999999694e-05 2.216741560491519972e-16 -1.812595812751296679e-10 -5.448181709478150844e-10 -1.570244387861088843e-09 -2.127411606487993917e-09 -2.898629408071245601e-09 -3.601139754852111356e-09 -4.817382642675076395e-09
8.993773740000000558e-05 2.264618346420820244e-16 -2.803598878802605803e-10 -8.456778320016347769e-10 -2.470469855330986733e-09 -3.356958544329573410e-09 -4.578318332575534134e-09 -5.713038219454838225e-09 -7.668797455942271797e-09
1.199169831999999939e-04 2.313486732340740171e-16 -3.895693879158374883e-10 -1.172642388771589943e-09 -3.469575330577401026e-09 -4.726118606922125485e-09 -6.449788187333280049e-09 -8.084535017562539885e-09 -1.088882626201991282e-08
1.498962290000000093e-04 2.363366304061340185e-16 -5.120844820154535366e-10 -1.530965746798396227e-09 -4.584513782877663958e-09 -6.257069895918606643e-09 -8.542133962666527558e-09 -1.075528512643744933e-08 -1.453332314081181485e-08
1.798754748000000112e-04 2.414277013612370102e-16 -6.487133079109284661e-10 -1.922479854452311762e-09 -5.824441285647636135e-09 -7.962251768032675102e-09 -1.087223399560057522e-08 -1.374951600200370799e-08 -1.863812933137049491e-08
2.098547206000000130e-04 2.466239185659479893e-16 -7.989308989546647989e-10 -2.347007310017109357e-09 -7.193793417464971595e-09 -9.848173880197071890e-09 -1.344955461655064656e-08 -1.708222228699350147e-08 -2.322729842952959609e-08
2.398339663999999878e-04 2.519273524024199934e-16 -9.620791408632309487e-10 -2.804015231802345543e-09 -8.695923114603927532e-09 -1.191985691860635014e-08 -1.628164214340074056e-08 -2.076608466042342216e-08 -2.832205691052336565e-08
2.698132122000000167e-04 2.573401118309170092e-16 -1.138440545465226537e-09 -3.294196762795931371e-09 -1.033684630038761765e-08 -1.418541820566516837e-08 -1.937976955487356684e-08 -2.481850101370186156e-08 -3.394973304682495461e-08
2.997924580000000186e-04 2.628643450630070130e-16 -1.329581545099735058e-09 -3.820096310944428061e-09 -1.212705068545790637e-08 -1.665832285786226290e-08 -2.276172058228195593e-08 -2.926500942193719780e-08 -4.014795586857262995e-08
3.297717038000000205e-04 2.685022402455959824e-16 -1.537893014812199230e-09 -4.385580311285871704e-09 -1.408066666167014626e-08 -1.935642959738954972e-08 -2.645064828447144603e-08 -3.413781477193327036e-08 -4.696254871122083252e-08
3.597509496000000223e-04 2.742560261559509863e-16 -1.765749929898743091e-09 -4.994661744130643945e-09 -1.621287181507722930e-08 -2.229884732815444143e-08 -3.047121852143246194e-08 -3.947090694465238900e-08 -5.444104111838225851e-08
3.897301954000000242e-04 2.801279729078540040e-16 -2.014858147593407797e-09 -5.650470660649897892e-09 -1.853723648598235922e-08 -2.550264199249133929e-08 -3.484549304643737067e-08 -4.529478533365806746e-08 -6.262564216441107313e-08
4.197094412000000260e-04 2.861203926690899993e-16 -2.286130152748539082e-09 -6.354926308245200021e-09 -2.106444301835681348e-08 -2.898114239987880709e-08 -3.959069115942050549e-08 -5.163345040775569290e-08 -7.154909945528195891e-08
4.496886869999999737e-04 2.922356403903820064e-16 -2.580052108651866920e-09 -7.109154139586273869e-09 -2.380277986977285415e-08 -3.274438956931201985e-08 -4.471955487174947076e-08 -5.850463071653910562e-08 -8.123475905184198824e-08
4.796679327999999755e-04 2.984761145459690154e-16 -2.897233263122763540e-09 -7.914262434435877832e-09 -2.675975845940117831e-08 -3.680101221334201337e-08 -5.024252787146474581e-08 -6.592235866848282367e-08 -9.169976853397086637e-08
5.096471786000000316e-04 3.048442578859909840e-16 -3.238793945324557793e-09 -8.771974174597896277e-09 -2.994372445548340907e-08 -4.116020359265599739e-08 -5.617018488801242619e-08 -7.390000140633600871e-08 -1.029590055955145147e-07
5.396264244000000335e-04 3.113425582008359889e-16 -3.606408194103450865e-09 -9.684794555577503730e-09 -3.336457799582293557e-08 -4.583271117193662530e-08 -6.251456223138911239e-08 -8.245203303689638792e-08 -1.150274540717834159e-07
5.696056702000000353e-04 3.179735490976300171e-16 -4.002039392538883174e-09 -1.065571378473619102e-08 -3.703338782447285908e-08 -5.083051064215501646e-08 -6.928890374678602697e-08 -9.159384165932270216e-08 -1.279200050748037443e-07
5.995849160000000372e-04 3.247398107890359949e-16 -4.427568469141180817e-09 -1.168770191122012873e-08 -4.096132240745359432e-08 -5.616559466610832215e-08 -7.650624847402868450e-08 -1.013399984397488928e-07 -1.416491670517030734e-07
6.295641618000000390e-04 3.316439708945509867e-16 -4.884548547345336296e-09 -1.278332615812730921e-08 -4.515859090235755528e-08 -6.184866564819450653e-08 -8.417777002943626161e-08 -1.117020845229032469e-07 -1.562221162545943124e-07
6.595434076000000409e-04 3.386887052544619981e-16 -5.374224126522013722e-09 -1.394470028745400496e-08 -4.963392280196549511e-08 -6.788838438327079714e-08 -9.231168752834226934e-08 -1.226871449142125712e-07 -1.716385485891035209e-07
6.895226534000000428e-04 3.458767387566320100e-16 -5.897779299551970092e-09 -1.517374421798200185e-08 -5.439469215773846522e-08 -7.429137248786126474e-08 -1.009130787720061604e-07 -1.342972820296159167e-07 -1.878900841550978842e-07
7.195018992000000446e-04 3.532108461763410201e-16 -6.456624222582769888e-09 -1.647252821519022879e-08 -5.944738921635458613e-08 -8.106270069332518671e-08 -1.099843745790643409e-07 -1.465302140957299808e-07 -2.049610496939632118e-07
7.494811450000000465e-04 3.606938530293059916e-16 -7.052493266509325734e-09 -1.784342458596884899e-08 -6.479798369997540168e-08 -8.820637279222200307e-08 -1.195260001003724855e-07 -1.593801831114034314e-07 -2.228298518763121826e-07
7.794603908000000483e-04 3.683286364381069995e-16 -7.687251515322707278e-09 -1.928892924288994223e-08 -7.045187027618474671e-08 -9.572542182034936834e-08 -1.295366796924750612e-07 -1.728385859337428433e-07 -2.414701094141420715e-07
8.094396366000000502e-04 3.761181260121940129e-16 -8.362518347031299734e-09 -2.081125830439578815e-08 -7.641341514955626050e-08 -1.036215620171708127e-07 -1.400132464671435046e-07 -1.868940400879195239e-07 -2.608511251569904243e-07
8.394188824000000521e-04 3.840653047416690118e-16 -9.079367278390220221e-09 -2.241200136127938393e-08 -8.268540876644280475e-08 -1.118946600736267056e-07 -1.509501626660038122e-07 -2.015320268766867727e-07 -2.809378139567778519e-07
8.693981282000000539e-04 3.921732099050120104e-16 -9.838326679967333374e-09 -2.409208779797901889e-08 -8.926878782483137835e-08 -1.205424008199130601e-07 -1.623391373877599069e-07 -2.167345144838108187e-07 -3.016905367921285717e-07
8.993773739999999474e-04 4.004449339909940029e-16 -1.063969610065155401e-08 -2.585210303028376570e-08 -9.616279205112087236e-08 -1.295603711174167917e-07 -1.741691373343887520e-07 -2.324799374273071687e-07 -3.230653008735308818e-07
9.293566197999999492e-04 4.088836256349130114e-16 -1.148395850160738114e-08 -2.769273484470439392e-08 -1.033654154221039893e-07 -1.389424928516052698e-07 -1.864268167207274175e-07 -2.487436666753899260e-07 -3.450145544990156895e-07
9.593358655999999511e-04 4.174924905694109944e-16 -1.237198993948181533e-08 -2.961502902407011224e-08 -1.108738146670038146e-07 -1.486815099496499299e-07 -1.990971366390177917e-07 -2.654988246030227770e-07 -3.674885120616966814e-07
9.893151114000000614e-04 4.262747925900180000e-16 -1.330491001357144986e-08 -3.162026647315919532e-08 -1.186843820807023232e-07 -1.587692216394139667e-07 -2.121638610798760459e-07 -2.827171412888613017e-07 -3.904367297159880966e-07
1.019294357000000107e-03 4.352338544753120165e-16 -1.428367270185334344e-08 -3.370954156291950639e-08 -1.267924325524346964e-07 -1.691963460509858111e-07 -2.256097352638483128e-07 -3.003695728830286363e-07 -4.138095749543380068e-07
1.049273603000000065e-03 4.443730592844200347e-16 -1.530867534512234080e-08 -3.588332473055323979e-08 -1.351917187076254788e-07 -1.799521516518333980e-07 -2.394163734674941407e-07 -3.184265666806477876e-07 -4.375593044757396267e-07
1.079252849000000023e-03 4.536958508272310150e-16 -1.637963692730595679e-08 -3.814128850489389649e-08 -1.438740945226857199e-07 -1.910241394205193585e-07 -2.535640658311461867e-07 -3.368580665899889268e-07 -4.616406646840710309e-07
1.109232094999999980e-03 4.632057351087499642e-16 -1.749580004442960355e-08 -4.048248477588102847e-08 -1.528295484590349747e-07 -2.023980272307190716e-07 -2.680317734422338616e-07 -3.556335256683004630e-07 -4.860112179334078779e-07
1.139211339999999942e-03 4.729062809263990074e-16 -1.865629764707902493e-08 -4.290573058670316828e-08 -1.620466015575154219e-07 -2.140581133652326226e-07 -2.827974925024377352e-07 -3.747222323523905941e-07 -5.106318120305923111e-07
1.169190585999999900e-03 4.828011222290720044e-16 -1.986044399429613944e-08 -4.540995157901897944e-08 -1.715128789314782570e-07 -2.259879106658243197e-07 -2.978390060094928765e-07 -3.940941534621593153e-07 -5.354676198020041019e-07
1.199169832000000074e-03 4.928939572505479681e-16 -2.110778951518188458e-08 -4.799429230523546932e-08 -1.812156004157716323e-07 -2.381708221176951869e-07 -3.131348514574546155e-07 -4.137212320928232145e-07 -5.604898521724433124e-07
1.229149078000000032e-03 5.031885508884019999e-16 -2.239794167619453878e-08 -5.065796748954739236e-08 -1.911418304010990029e-07 -2.505906477797396078e-07 -3.286652384298689842e-07 -4.335788262500749617e-07 -5.856778010640355895e-07
1.259128323999999990e-03 5.136887354914229736e-16 -2.373027869126159377e-08 -5.339997019358286730e-08 -2.012784667643597329e-07 -2.632318009919532171e-07 -3.444126439647102325e-07 -4.536468162689639104e-07 -6.110204954555325955e-07
1.289107568999999951e-03 5.243984116235159668e-16 -2.510371472979901717e-08 -5.621880760532664633e-08 -2.116120889877816634e-07 -2.760792663555226562e-07 -3.603619708482749935e-07 -4.739100474044815240e-07 -6.365173362963234214e-07
1.319086814999999909e-03 5.353215506414360218e-16 -2.651662578319860019e-08 -5.911239729949002937e-08 -2.221288488167036831e-07 -2.891184635353413602e-07 -3.765003814897458429e-07 -4.943581249249392379e-07 -6.621775740900827531e-07
1.349066061000000084e-03 5.464621937107240044e-16 -2.796696208963319789e-08 -6.207816857906693651e-08 -2.328145562334224425e-07 -3.023352286348121712e-07 -3.928170943543115920e-07 -5.149849384502830742e-07 -6.880191085168328059e-07
1.379045307000000041e-03 5.578244544042689552e-16 -2.945249543012536573e-08 -6.511332380090385308e-08 -2.436550282258931680e-07 -3.157160830925424287e-07 -4.093034679743145458e-07 -5.357884617864681703e-07 -7.140674574289157538e-07
1.409024552999999999e-03 5.694125195431659729e-16 -3.097108914061904161e-08 -6.821513890694302185e-08 -2.546366243375754437e-07 -3.292487904305136721e-07 -4.259535006769706119e-07 -5.567711503548544655e-07 -7.403555082762120485e-07
1.439003797999999961e-03 5.812306500112679524e-16 -3.252085907966642842e-08 -7.138115769576042941e-08 -2.657467961561515082e-07 -3.429230361512313315e-07 -4.427646054103426804e-07 -5.779408441387222287e-07 -7.669240626441674502e-07
1.468983043999999918e-03 5.932831835706069828e-16 -3.410013511060458384e-08 -7.460917806493648430e-08 -2.769744663535880528e-07 -3.567309831491656894e-07 -4.597383212001813182e-07 -5.993117131265553560e-07 -7.938225718378980736e-07
1.498962290000000093e-03 6.055745337458450393e-16 -3.570723637163099978e-08 -7.789703852097084834e-08 -2.883101482027889253e-07 -3.706675192127337770e-07 -4.768806336351328184e-07 -6.209047047134579411e-07 -8.211092482360484390e-07
1.528941536000000051e-03 6.181091926615569849e-16 -3.734019558102132519e-08 -8.124234515557126044e-08 -2.997458929607199043e-07 -3.847302202450979651e-07 -4.942018261056307504e-07 -6.427472562855310019e-07 -8.488500995722802044e-07
1.558920782000000008e-03 6.308917319392029891e-16 -3.899661889171387472e-08 -8.464233362681763052e-08 -3.112752570699067067e-07 -3.989192165444418514e-07 -5.117160418002637758e-07 -6.648724311128450392e-07 -8.771170065642356457e-07
1.588900026999999970e-03 6.439268035646719972e-16 -4.067379970704485389e-08 -8.809399325810567838e-08 -3.228934701373883098e-07 -4.132371971273611012e-07 -5.294408780393484028e-07 -6.873179173188687864e-07 -9.059854439018336644e-07
1.618879272999999928e-03 6.572191429620570474e-16 -4.236904328341810846e-08 -9.159441286289952057e-08 -3.345978324718328366e-07 -4.276896539873614768e-07 -5.473972337572154392e-07 -7.101252840997125190e-07 -9.355324882704192777e-07
1.648858519000000102e-03 6.707735677310289603e-16 -4.408001202780961252e-08 -9.514115139809069843e-08 -3.463881821025062229e-07 -4.422852510504057165e-07 -5.656093748708822710e-07 -7.333395844203884345e-07 -9.658353964596326877e-07
1.678837765000000060e-03 6.845949807434789581e-16 -4.580488298092303592e-08 -9.873241538971266939e-08 -3.582672097928770802e-07 -4.570360953951739481e-07 -5.841050040623387558e-07 -7.570091122568944341e-07 -9.969706267280528835e-07
1.708817011000000018e-03 6.986883710992880422e-16 -4.754223426424436038e-08 -1.023669517136909564e-07 -3.702404790351195237e-07 -4.719577246474184114e-07 -6.029150889496140081e-07 -7.811849880122025680e-07 -1.029012900770390242e-06
1.738796255999999979e-03 7.130588150492699948e-16 -4.929076426641338714e-08 -1.060437627645129892e-07 -3.823162094360200671e-07 -4.870688192651770419e-07 -6.220733811855154027e-07 -8.059203941352189164e-07 -1.062033999848668504e-06
1.768775501999999937e-03 7.277114793495360390e-16 -5.104905727942748492e-08 -1.097618707029411471e-07 -3.945050307881451794e-07 -5.023908206114616471e-07 -6.416157623381054065e-07 -8.312695251519542985e-07 -1.096101270015224493e-06
1.798754747999999895e-03 7.426516198346180251e-16 -5.281556517258793756e-08 -1.135203121385421848e-07 -4.068198979397317395e-07 -5.179476510385169222e-07 -6.615796197492089201e-07 -8.572864581769066806e-07 -1.131276043086184857e-06
1.828733994000000069e-03 7.578845847957409990e-16 -5.458881872882097110e-08 -1.173183793067697807e-07 -4.192762127245916380e-07 -5.337656153918494815e-07 -6.820033864781236221e-07 -8.840241566006694826e-07 -1.167612282031496845e-06
