@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.08.00 Linux 64"
@ DATE             %08s "26/04/23"
@ TIME             %08s "12.13.59"
* NAME               KEYWORD            S L ANGLE 
$ %s                 %s                 %le %le %le 
 "CA.ACS0270S_MECH"  "MARKER"            17.326400000 0.000000000 0.000000000
 "CA.BPC0310"        "MONITOR"           17.566400000 0.000000000 0.000000000
 "CA.DHG0320"        "KICKER"            17.766900000 0.145000000 0.000000000
 "CA.SDV0340"        "VKICKER"           18.026400000 0.246000000 0.000000000
 "CA.QS0350"         "MARKER"            18.283400000 0.000000000 0.000000000
 "CA.QFD0350"        "QUADRUPOLE"        18.509400000 0.226000000 0.000000000
 "CA.QDD0355"        "QUADRUPOLE"        18.949400000 0.226000000 0.000000000
 "CA.QFD0360"        "QUADRUPOLE"        19.389400000 0.226000000 0.000000000
 "CA.DHG0385"        "KICKER"            20.051900000 0.145000000 0.000000000
 "CA.BTV0390"        "MONITOR"           20.556400000 0.000000000 0.000000000
 "CA.CALIFES$END"    "MARKER"            20.556400000 0.000000000 0.000000000
 "CA.CLEAR$START"    "MARKER"            20.556400000 0.000000000 0.000000000
 "CA.QS0510"         "MARKER"            22.253400000 0.000000000 0.000000000
 "CA.QFD0510"        "QUADRUPOLE"        22.479400000 0.226000000 0.000000000
 "CA.QDD0515"        "QUADRUPOLE"        22.979400000 0.226000000 0.000000000
 "CA.QFD0520"        "QUADRUPOLE"        23.479400000 0.226000000 0.000000000
 "CA.BPM0530"        "MONITOR"           23.838400000 0.118000000 0.000000000
 "CA.DHJ0540"        "KICKER"            24.038400000 0.100000000 0.000000000
 "CA.DHJ0590"        "KICKER"            25.265400000 0.100000000 0.000000000
 "CA.BPM0595"        "MONITOR"           25.518400000 0.118000000 0.000000000
 "CA.BTV0620"        "MONITOR"           25.934400000 0.000000000 0.000000000
 "CA.BPM0690"        "MONITOR"           28.808400000 0.118000000 0.000000000
 "CA.DHJ0710"        "KICKER"            29.372400000 0.100000000 0.000000000
 "CA.BTV0730"        "MONITOR"           29.754400000 0.000000000 0.000000000
 "CA.QS0760"         "MARKER"            30.071400000 0.000000000 0.000000000
 "CA.QFD0760"        "QUADRUPOLE"        30.297400000 0.226000000 0.000000000
 "CA.QDD0765"        "QUADRUPOLE"        30.747400000 0.226000000 0.000000000
 "CA.QFD0770"        "QUADRUPOLE"        31.197400000 0.226000000 0.000000000
 "CA.DHJ0780"        "KICKER"            31.717400000 0.100000000 0.000000000
 "CA.PLC0800M"       "MARKER"            32.257400000 0.000000000 0.000000000
 "CA.BTV0800"        "MONITOR"           32.257400000 0.000000000 0.000000000
 "CA.BTV0810"        "MONITOR"           32.549400000 0.000000000 0.000000000
 "CA.BPM0820"        "MONITOR"           32.911400000 0.118000000 0.000000000
 "CA.DHJ0840"        "KICKER"            33.551400000 0.100000000 0.000000000
 "CA.QS0870"         "MARKER"            33.726400000 0.000000000 0.000000000
 "CA.QDD0870"        "QUADRUPOLE"        33.952400000 0.226000000 0.000000000
 "CA.QFD0880"        "QUADRUPOLE"        34.402400000 0.226000000 0.000000000
 "CA.BPM0890"        "MONITOR"           34.589400000 0.118000000 0.000000000
 "CA.CLEAR$END"      "MARKER"            34.589400000 0.000000000 0.000000000
 "CA.CLDUMP$START"   "MARKER"            34.589400000 0.000000000 0.000000000
 "CA.BTV0910"        "MONITOR"           35.494400000 0.000000000 0.000000000
 "CA.VAW0915"        "MARKER"            35.564400000 0.000000000 0.000000000
 "CA.ICT0930"        "MONITOR"           35.574400000 0.000000000 0.000000000
 "CA.MTV_DUMP"       "MONITOR"           36.524400000 0.000000000 0.000000000
 "CA.CLDUMP$END"     "MARKER"            36.644400000 0.000000000 0.000000000
 "CA.STLINE$END"     "MARKER"            36.644400000 0.000000000 0.000000000
